Quarter,Year,Subs,Company
Q4,2010,0.3,Hulu
Q1,2011,0.5,Hulu
Q2,2011,0.9,Hulu
Q3,2011,1.2,Hulu
Q4,2011,1.5,Hulu
Q1,2012,2,Hulu
Q2,2012,,Hulu
Q3,2012,,Hulu
Q4,2012,3,Hulu
Q1,2013,4,Hulu
Q2,2013,,Hulu
Q3,2013,,Hulu
Q4,2013,5,Hulu
Q1,2014,,Hulu
Q2,2014,6,Hulu
Q2,2015,9,Hulu
Q2,2016,12,Hulu
Q4,2017,17,Hulu
Q2,2018,20,Hulu
Q3,2018,,Hulu
Q1,2019,22.8,Hulu
Q2,2019,25.2,Hulu
Q3,2019,27.9,Hulu
Q4,2019,28.5,Hulu
Q1,2020,30.4,Hulu
Q2,2020,32.1,Hulu
Q3,2020,35.5,Hulu
Q4,2020,36.6,Hulu
Q1,2021,39.4,Hulu
Q2,2021,41.6,Hulu
Q3,2021,42.8,Hulu
Q4,2021,43.8,Hulu
Q1,2022,45.3,Hulu
Q2,2022,45.6,Hulu
Q3,2022,46.2,Hulu
Q4,2022,47.2,Hulu
Q1,2023,48,Hulu
Q2,2023,48.2,Hulu
