SVOD services monthly subscription price in the U.S. 2022,
"Monthly costs of streaming services in the United States as of November 2022, by service and plan",
,
Netflix - Basic with ads,6.99
Netflix - Basic,9.99
Netflix - Standard,15.49
Netflix - Premium,19.99
HBO Max - Ad-supported,9.99
HBO Max - Ad free,14.99
Amazon Prime Video - Standalone subscription,8.99
Amazon Prime Video - Full subscription,14.99
Hulu - Ad-supported,7.99
Hulu - Ad free,14.99
Disney+ - Ad-supported,7.99
Disney+ - Ad free,10.99
Showtime OTT - Ad free,10.99
Paramount+ - Ad-supported,4.99
Paramount+ - Ad free,9.99
Peacock - Ad-supported,4.99
Peacock - Ad free,9.99
ESPN+ - Ad-supported,9.99
Starz OTT - Ad free,8.99
AMC+ - Ad free,8.99
Discovery+ - Ad-supported,4.99
Discovery+ - Ad free,6.99
Apple TV+ - Ad free,6.99
